target_id,repo,variant,token_jaccard,codebleu,closeness_score,assertion_conformance,naming_style_conformance,naming_clarity,naming_conformance,fixture_reuse,import_conformance,conformance_score,fit_token_jaccard,fit_codebleu,fit_closeness_score,fit_assertion_conformance,fit_naming_style_conformance,fit_naming_clarity,fit_naming_conformance,fit_fixture_reuse,fit_import_conformance,fit_conformance_score
T10_UiController,codecentric/spring-boot-admin,ES-based,0.20224719101123595,0.30182227055102306,0.2520347307811295,0.038461538461538464,0.0,0.6944444444444445,0.34722222222222227,0.0,0.125,0.1276709401709402,0.12182099662184134,0.1722788998823437,0.15337807241986456,0.04273504273504274,0.0,,-0.30555555555555547,-5.249999999999998,0.057692307692307696,-0.27048033188384063
T10_UiController,codecentric/spring-boot-admin,LLM-based,0.3469387755102041,0.36105767697645197,0.353998226243328,0.038461538461538464,0.0,1.0,0.5,0.14285714285714285,0.5,0.29532967032967034,0.43986326294315486,0.2619464165285797,0.3358197027584033,0.04273504273504274,0.0,,0.0,-3.9999999999999987,0.46153846153846156,0.004048582995951402
T10_UiController,codecentric/spring-boot-admin,Agentic-based,0.4825174825174825,0.6390128485607044,0.5607651655390935,0.8028846153846154,1.0,1.0,1.0,0.1,0.7222222222222222,0.6562767094017095,0.7378747844205196,0.6827006829201582,0.7057844370413149,0.8920940170940173,1.0,,1.0,-4.374999999999998,0.7008547008547008,0.5950729744589394
T11_DropwizardResourceConfig,dropwizard/dropwizard,ES-based,0.15384615384615385,0.12871248472202781,0.14127931928409082,0.0,0.1111111111111111,0.9375,0.5243055555555556,0.0,0.0,0.1310763888888889,0.040550561118629716,-0.05539737912838323,-0.0013702197225829754,0.0,0.1111111111111111,,0.05890804597701162,0.0,-0.15384615384615383,-0.034882986838725545
T11_DropwizardResourceConfig,dropwizard/dropwizard,LLM-based,0.5566037735849056,0.43272137311395975,0.4946625733494327,0.0,0.1111111111111111,1.0,0.5555555555555556,0.6857142857142857,0.7058823529411765,0.4867880485527545,0.7348907698912625,0.6458465379539345,0.6943435439945036,0.0,0.1111111111111111,,0.12356321839080471,0.8717127357272023,0.660633484162896,0.43843967819723795
T11_DropwizardResourceConfig,dropwizard/dropwizard,Agentic-based,0.6074766355140186,0.4932863374743858,0.5503814864942023,0.45833333333333337,1.0,0.9907407407407407,0.9953703703703703,0.7297297297297297,0.625,0.7021083583583584,0.8225938246357857,0.785549074516952,0.8040386535624442,0.5407914764079148,1.0,,1.0335249042145591,0.9276672694394213,0.5673076923076923,0.7249525885973765
T12_ContextHandler,eclipse/jetty.project,ES-based,0.11470588235294117,0.22784029165323919,0.17127308700309019,0.014423076923076924,1.0,0.9168765620204469,0.9584382810102234,0.0,0.11290322580645161,0.271441145934938,0.10800542668393698,0.16998207522723832,0.12688349425708084,0.017226625833183212,,1.0843828101022341,1.0843828101022348,0.0,0.05241935483870968,0.08575945253113691
T12_ContextHandler,eclipse/jetty.project,LLM-based,0.12751677852348994,0.10926619010982681,0.11839148431665839,0.6346153846153846,0.0,1.0,0.5,0.0,0.75,0.47115384615384615,0.13175359227136943,-0.3239890020261939,-0.00951778227897804,0.7579715366600613,,1.4999999999999998,-3.5000000000000004,0.0,0.7329545454545454,0.48421868666807033
T12_ContextHandler,eclipse/jetty.project,Agentic-based,0.33157894736842103,0.28399306091896526,0.30778600414369317,0.6534615384615385,1.0,0.9768046107331821,0.9884023053665911,0.08695652173913043,0.8205128205128205,0.6373332965200201,0.5100333091112284,0.40391042521181525,0.47900096452462027,0.7804809944154208,,1.3840230536659104,1.3840230536659117,0.8037602820211516,0.8082750582750583,0.815773647617585
T13_HttpConnection,eclipse/jetty.project,ES-based,0.12347826086956522,0.11664441296808208,0.12006133691882365,0.10606060606060606,1.0,0.8584821428571429,0.9292410714285715,0.0,0.175,0.3025754193722944,0.11533170916266564,-0.43183828802342805,-0.045127190271164005,0.12327626101449363,,0.6154859484777516,0.6154859484777526,-0.45072992700729925,0.09081632653061224,-0.013552569948328142
