metric,variant,human_n,human_mean,human_sd,human_median,human_q1,human_q3,floor_n,floor_mean,floor_sd,floor_median,fit_n,fit_mean,fit_sd,fit_median,fit_q1,fit_q3
naming_clarity,ES-based,27,0.9451914558980836,0.05558599455780291,0.9666666666666667,0.9,1.0,27,0.9197593571326514,0.09370826427399459,0.9666666666666667,4,0.8639003860781931,0.2517904660098144,0.8778663928663932,0.6627567685047197,1.0790100104398666
naming_clarity,LLM-based,27,0.9451914558980836,0.05558599455780291,0.9666666666666667,0.9,1.0,27,0.9197593571326514,0.09370826427399459,0.9666666666666667,4,1.3359341998100778,0.24420754231795969,1.4057377049180322,1.2336065573770485,1.5080653473510615
naming_clarity,Agentic-based,27,0.9451914558980836,0.05558599455780291,0.9666666666666667,0.9,1.0,27,0.9197593571326514,0.09370826427399459,0.9666666666666667,4,1.2816888404916664,0.2557810211920414,1.3477492317509876,1.2133128629762113,1.4161252092664427
naming_conformance,ES-based,27,0.9444409897507285,0.06945005000930107,0.9683333333333333,0.9112988802133539,0.9968614718614719,27,0.7122239374564784,0.22496327704162636,0.720959595959596,19,-0.37784085942463963,2.9489650229947224,0.026388888888888795,-0.23502720046837688,0.9831199639566626
naming_conformance,LLM-based,27,0.9444409897507285,0.06945005000930107,0.9683333333333333,0.9112988802133539,0.9968614718614719,27,0.7122239374564784,0.22496327704162636,0.720959595959596,19,-0.1553764227889235,2.082186827184655,0.12356321839080471,-0.4406586837361589,0.98144707223414
naming_conformance,Agentic-based,27,0.9444409897507285,0.06945005000930107,0.9683333333333333,0.9112988802133539,0.9968614718614719,27,0.7122239374564784,0.22496327704162636,0.720959595959596,19,1.0667152520857304,0.7952801215748702,0.9975232045407484,0.8783046001707375,1.1725001570253129
fixture_reuse,ES-based,23,0.4780886304742619,0.25547043247448253,0.5263741134751774,0.29860063683593097,0.6730769230769231,23,0.04553140096618357,0.132263010246151,0.0,19,-0.33840826527604934,1.1993791194095487,0.0,0.0,0.0
fixture_reuse,LLM-based,23,0.4780886304742619,0.25547043247448253,0.5263741134751774,0.29860063683593097,0.6730769230769231,23,0.04553140096618357,0.132263010246151,0.0,19,0.018319724701824785,1.0347764446439733,0.14607948442534907,0.0,0.45185226060405403
fixture_reuse,Agentic-based,23,0.4780886304742619,0.25547043247448253,0.5263741134751774,0.29860063683593097,0.6730769230769231,23,0.04553140096618357,0.132263010246151,0.0,19,0.2897451956163644,1.2705340292884344,0.40209790209790214,0.14202912344151516,0.7907690298994647
import_conformance,ES-based,27,1.0,0.0,1.0,1.0,1.0,27,0.058337919079010696,0.08835372076908818,0.05128205128205128,27,0.09769054873810949,0.2713808638290546,0.09081632653061224,0.01674107142857143,0.16794871794871796
import_conformance,LLM-based,27,1.0,0.0,1.0,1.0,1.0,27,0.058337919079010696,0.08835372076908818,0.05128205128205128,27,0.3427910016747324,0.28029329363466676,0.38636363636363635,0.11085972850678734,0.5252941176470588
import_conformance,Agentic-based,27,1.0,0.0,1.0,1.0,1.0,27,0.058337919079010696,0.08835372076908818,0.05128205128205128,27,0.589476907691438,0.34535307403985516,0.7058823529411765,0.3,0.8406228496361323
conformance_score,ES-based,27,0.8173654170034754,0.10386172378624672,0.7974621945742835,0.7440120780170122,0.9127393889632667,27,0.29068158663488713,0.11881789621357057,0.28541666666666665,27,-0.04990144153832332,0.40365419529515134,-0.01465717187642123,-0.29024075668607074,0.10860590985434318
conformance_score,LLM-based,27,0.8173654170034754,0.10386172378624672,0.7974621945742835,0.7440120780170122,0.9127393889632667,27,0.29068158663488713,0.11881789621357057,0.28541666666666665,27,0.15433866358166906,0.3504092477054554,0.136115080155356,0.016009529427921502,0.3848715172715078
conformance_score,Agentic-based,27,0.8173654170034754,0.10386172378624672,0.7974621945742835,0.7440120780170122,0.9127393889632667,27,0.29068158663488713,0.11881789621357057,0.28541666666666665,27,0.574092763417987,0.39556679384749033,0.7249525885973765,0.46130260284420427,0.8271269237564784
