target_id,repo,manual_test_methods,held_out_methods,repeats,floor_target_id,human_token_jaccard,human_codebleu,human_closeness_score,human_assertion_conformance,human_naming_style_conformance,human_naming_clarity,human_naming_conformance,human_fixture_reuse,human_import_conformance,human_conformance_score,floor_token_jaccard,floor_codebleu,floor_closeness_score,floor_assertion_conformance,floor_naming_style_conformance,floor_naming_clarity,floor_naming_conformance,floor_fixture_reuse,floor_import_conformance,floor_conformance_score
T19_JavaClientCodegen,openapitools/openapi-generator,140,5,10,T21_DefaultTransitService,0.33333333333333337,0.24484833186281274,0.28864362880768346,0.46179912015156666,0.691358024691358,0.8916666666666667,0.770679012345679,0.5280303030303031,1.0,0.704094024262433,0.10337703049301795,0.2715871946292546,0.1879689025533605,0.1875,0.0,0.8916666666666667,0.44583333333333336,0.0,0.037037037037037035,0.1743634259259259
T21_DefaultTransitService,opentripplanner/opentripplanner,18,5,10,T22_ODocument,0.8925619834710744,0.7429822805997233,0.8192350886797093,0.7718750000000001,1.0,0.9874458874458875,0.9937229437229438,0.2222222222222222,1.0,0.7457140082140081,0.13616833330474604,0.2369907627032233,0.18644087182972574,0.7656204906204906,0.0,0.9874458874458875,0.49372294372294373,,0.02564102564102564,0.4248649498649498
T22_ODocument,orientechnologies/orientdb,18,5,10,T24_PmdAnalysis,0.6428571428571428,0.40726364616704125,0.525060394512092,0.8589015151515151,1.0,0.9666666666666667,0.9833333333333334,,1.0,0.9505747126436782,0.1451133407655147,0.3470417024015888,0.24559594037727867,0.42857142857142855,1.0,0.9666666666666667,0.9833333333333334,0.0,0.0,0.3494047619047619
T23_OMatchStatement,orientechnologies/orientdb,28,5,10,T24_PmdAnalysis,0.6947368421052632,0.40723555556578767,0.5509861988355254,1.0,1.0,0.9,0.95,0.8248081841432224,1.0,0.94375,0.1452922077922078,0.21151031624601047,0.17935091390690422,0.2857142857142857,1.0,0.7166666666666666,0.8583333333333333,0.0,0.0,0.28541666666666665
T24_PmdAnalysis,pmd/pmd,8,5,10,T25_QuteProcessor,0.7467948717948718,0.7435308392330833,0.7451628555139775,0.47916666666666663,1.0,0.8666666666666666,0.9333333333333333,0.10555555555555556,1.0,0.6256786616161616,0.17475419317524582,0.39549011136564993,0.2865344252926589,0.3484848484848485,1.0,0.8666666666666666,0.9333333333333333,,0.06666666666666667,0.45505050505050504
T25_QuteProcessor,quarkusio/quarkus,2,1,10,T26_ServerMain,0.5952380952380952,0.5396540261796365,0.5674460607088658,0.375,1.0,1.0,1.0,,1.0,0.7916666666666666,0.16420744016149189,0.06688621232132384,0.11516495829616177,0.4967948717948718,1.0,1.0,1.0,0.0,0.08333333333333333,0.3950320512820513
T26_ServerMain,questdb/questdb,11,5,10,T27_Operators,0.49318181818181817,0.2095729781331422,0.35770175683534,0.6217532467532467,1.0,0.9333333333333333,0.9666666666666667,0.09808612440191387,1.0,0.6686507282974674,0.09869333809319043,0.17839056453315066,0.1389412034277649,0.0,0.08695652173913043,0.9333333333333333,0.5210144927536232,0.0,0.0,0.1302536231884058
T27_Operators,reactor/reactor-core,54,5,10,T28_Subscription,0.3772609819121447,0.2159404650535175,0.29670687382334515,0.7725899100899101,0.8478260869565218,0.8666666666666666,0.8751773049645389,0.1111111111111111,1.0,0.6711455192047036,0.13602941176470587,0.2898841774562472,0.21566228272914936,0.0,0.8,0.8666666666666666,0.8333333333333333,0.0,0.024390243902439025,0.21443089430894308
T28_Subscription,real-logic/aeron,14,5,10,T30_FileConfiguration,0.8176470588235294,0.7084090122717441,0.7610406908031302,0.7893939393939393,0.8400000000000001,0.9455937921727395,0.8892644270933745,0.37412587412587417,1.0,0.7423101478200163,0.13333333333333333,0.19150698308449166,0.16135899719315147,0.6800664451827243,0.01818181818181818,0.9455937921727395,0.47780369484316854,0.125,0.05555555555555555,0.335492347564716
T29_AeronCluster,real-logic/aeron,5,4,10,T30_FileConfiguration,0.9095744680851063,0.8559929995578374,0.8822211670830467,0.86,1.0,1.0,1.0,0.6,1.0,0.86875,0.13761467889908258,0.21759406959414113,0.17521837905529616,0.6644144144144144,0.0,1.0,0.5,0.1111111111111111,0.05405405405405406,0.33239489489489493
T30_FileConfiguration,seata/seata,39,5,10,T31_JadxDecompiler,0.3932291666666667,0.2741997832997363,0.33371831000481167,0.8083245583245584,1.0,0.9333333333333333,0.9666666666666667,0.6666666666666666,1.0,0.8727092352092352,0.16078382633192476,0.317929468419612,0.24413427293019174,0.0,1.0,1.0,1.0,0.0,0.1111111111111111,0.2777777777777778
T31_JadxDecompiler,skylot/jadx,3,2,10,T02_CheckpointCoordinator,0.6147540983606558,0.7167847774780018,0.6657694379193289,0.8166666666666667,1.0,1.0,1.0,0.3333333333333333,1.0,0.775,0.05062253069344555,0.13932526212347704,0.09504746043859312,0.6208918514293862,1.0,0.8333333333333333,0.9166666666666666,0.0,0.45454545454545453,0.4980120484928177
